month,Price,quantity
2014-01-01,12.014249568411387,0.0
2014-02-01,12.014249568411387,0.0
2014-03-01,12.014249568411387,0.0
2014-04-01,12.014249568411387,0.0
2014-05-01,12.014249568411387,0.0
2014-06-01,12.014249568411387,0.0
2014-07-01,12.014249568411387,0.0
2014-08-01,12.014249568411387,0.0
2014-09-01,12.014249568411387,0.0
2014-10-01,12.014249568411387,0.0
2014-11-01,12.014249568411387,0.0
2014-12-01,12.014249568411387,0.0
2015-01-01,12.014249568411387,0.0
2015-02-01,12.014249568411387,0.0
2015-03-01,12.014249568411387,0.0
2015-04-01,12.014249568411387,0.0
2015-05-01,12.014249568411387,0.0
2015-06-01,12.014249568411387,0.0
2015-07-01,12.014249568411387,0.0
2015-08-01,12.014249568411387,0.0
2015-09-01,12.014249568411387,0.0
2015-10-01,12.014249568411387,0.0
2015-11-01,12.014249568411387,0.0
2015-12-01,12.014249568411387,0.0
2016-01-01,12.014249568411387,0.0
2016-02-01,12.014249568411387,0.0
2016-03-01,12.014249568411387,0.0
2016-04-01,12.014249568411387,0.0
2016-05-01,12.014249568411387,0.0
2016-06-01,12.014249568411387,0.0
2016-07-01,12.014249568411387,0.0
2016-08-01,12.014249568411387,0.0
2016-09-01,12.014249568411387,0.0
2016-10-01,12.014249568411387,0.0
2016-11-01,12.014249568411387,0.0
2016-12-01,12.014249568411387,0.0
2017-01-01,12.014249568411387,0.0
2017-02-01,12.014249568411387,0.0
2017-03-01,12.014249568411387,0.0
2017-04-01,12.014249568411387,0.0
2017-05-01,12.014249568411387,0.0
2017-06-01,12.014249568411387,0.0
2017-07-01,12.014249568411387,0.0
2017-08-01,12.014249568411387,0.0
2017-09-01,12.014249568411387,0.0
2017-10-01,12.014249568411387,0.0
2017-11-01,12.014249568411387,0.0
2017-12-01,12.014249568411387,0.0
2018-01-01,12.014249568411387,0.0
2018-02-01,12.014249568411387,0.0
2018-03-01,12.014249568411387,0.0
2018-04-01,12.014249568411387,0.0
2018-05-01,12.014249568411387,0.0
2018-06-01,12.014249568411387,0.0
2018-07-01,10.206833333333334,132.0
2018-08-01,11.924716883116883,75.0
2018-09-01,13.508016528925618,25.0
2018-10-01,14.39,1.0
2018-11-01,12.014249568411387,0.0
2018-12-01,10.0416810966811,101.0
