month,Price,quantity
2014-01-01,1.5217538392979568,0.0
2014-02-01,1.5217538392979568,0.0
2014-03-01,1.5217538392979568,0.0
2014-04-01,1.5217538392979568,0.0
2014-05-01,1.5217538392979568,0.0
2014-06-01,1.5217538392979568,0.0
2014-07-01,1.5217538392979568,0.0
2014-08-01,1.5217538392979568,0.0
2014-09-01,1.5217538392979568,0.0
2014-10-01,1.5217538392979568,0.0
2014-11-01,1.5217538392979568,0.0
2014-12-01,1.5217538392979568,0.0
2015-01-01,1.5217538392979568,0.0
2015-02-01,1.5217538392979568,0.0
2015-03-01,1.5217538392979568,0.0
2015-04-01,1.5217538392979568,0.0
2015-05-01,1.5217538392979568,0.0
2015-06-01,1.5217538392979568,0.0
2015-07-01,1.5217538392979568,0.0
2015-08-01,1.5217538392979568,0.0
2015-09-01,1.5217538392979568,0.0
2015-10-01,1.5217538392979568,0.0
2015-11-01,1.5217538392979568,0.0
2015-12-01,1.5217538392979568,0.0
2016-01-01,1.5217538392979568,0.0
2016-02-01,1.5217538392979568,0.0
2016-03-01,1.5217538392979568,0.0
2016-04-01,1.5217538392979568,0.0
2016-05-01,1.5217538392979568,0.0
2016-06-01,1.5217538392979568,0.0
2016-07-01,1.5217538392979568,0.0
2016-08-01,1.5217538392979568,0.0
2016-09-01,1.5217538392979568,0.0
2016-10-01,1.5217538392979568,0.0
2016-11-01,1.5217538392979568,0.0
2016-12-01,1.5217538392979568,0.0
2017-01-01,1.5217538392979568,0.0
2017-02-01,1.5217538392979568,0.0
2017-03-01,1.5217538392979568,0.0
2017-04-01,1.5217538392979568,0.0
2017-05-01,1.5217538392979568,0.0
2017-06-01,1.5217538392979568,0.0
2017-07-01,1.5217538392979568,0.0
2017-08-01,1.5217538392979568,0.0
2017-09-01,1.5217538392979568,0.0
2017-10-01,1.5217538392979568,0.0
2017-11-01,1.5217538392979568,0.0
2017-12-01,1.42,2.0
2018-01-01,1.4081666666666666,15.0
2018-02-01,1.42,11.0
2018-03-01,1.4200000000000002,24.0
2018-04-01,1.2793636363636363,15.0
2018-05-01,1.4200000000000004,23.0
2018-06-01,1.6216666666666668,18.0
2018-07-01,1.6200000000000003,21.0
2018-08-01,1.59875,35.0
2018-09-01,1.6499999999999995,21.0
2018-10-01,1.62485294117647,21.0
2018-11-01,1.6499999999999997,18.0
2018-12-01,1.6499999999999997,16.0
